SECTOR_ID,SECTOR_NAME,ENODEBID,ENODEB_NAME,FREQBAND,FREQUENCY,EARFCN,AZIMUTH,LONGITUDE,LATITUDE,STYLE,HEIGHT,K_DIST,,
565355-2,五华青云街-HLH-2,565355,五华青云街-HLH,39,1890,38350,120,102.705,25.05367,OUTDOOR,37,142.061,,
565355-1,五华青云街-HLH-1,565355,五华青云街-HLH,39,1890,38350,330,102.705,25.05367,OUTDOOR,37,142.061,,
566422-2,五华青年路延长线卫生站-HLH-2,566422,五华青年路延长线卫生站-HLH,39,1890,38350,120,102.713,25.05487,OUTDOOR,10,193.285,,
566422-1,五华青年路延长线卫生站-HLH-1,566422,五华青年路延长线卫生站-HLH,39,1890,38350,0,102.713,25.05487,OUTDOOR,10,193.285,,
565370-3,五华音像出版社-HLH-3,565370,五华音像出版社-HLH,39,1890,38350,260,102.687,25.0493,OUTDOOR,33,249.628,,
565370-2,五华音像出版社-HLH-2,565370,五华音像出版社-HLH,39,1890,38350,200,102.687,25.0493,OUTDOOR,33,249.628,,
565370-1,五华音像出版社-HLH-1,565370,五华音像出版社-HLH,39,1890,38350,40,102.687,25.0493,OUTDOOR,33,249.628,,
565695-3,五华顺城西塔-HLH-3,565695,五华顺城西塔-HLH,39,1890,38350,270,102.706,25.03921,OUTDOOR,15,140.073,,
565695-2,五华顺城西塔-HLH-2,565695,五华顺城西塔-HLH,39,1890,38350,260,102.706,25.03921,OUTDOOR,15,140.073,,
565695-1,五华顺城西塔-HLH-1,565695,五华顺城西塔-HLH,39,1890,38350,35,102.706,25.03921,OUTDOOR,15,140.073,,
566343-3,五华麻园万通旅社-HLH-3,566343,五华麻园万通旅社-HLH,39,1890,38350,260,102.677,25.05719,OUTDOOR,28,205.623,,
566343-2,五华麻园万通旅社-HLH-2,566343,五华麻园万通旅社-HLH,39,1890,38350,160,102.677,25.05719,OUTDOOR,28,205.623,,
566343-1,五华麻园万通旅社-HLH-1,566343,五华麻园万通旅社-HLH,39,1890,38350,30,102.677,25.05719,OUTDOOR,28,205.623,,
567129-3,五华龟背立交北口路灯站-HLH-3,567129,五华龟背立交北口路灯站-HLH,39,1890,38350,140,102.697,25.04751,OUTDOOR,8,139.102,,
567129-2,五华龟背立交北口路灯站-HLH-2,567129,五华龟背立交北口路灯站-HLH,39,1890,38350,10,102.697,25.04751,OUTDOOR,8,139.102,,
567129-1,五华龟背立交北口路灯站-HLH-1,567129,五华龟背立交北口路灯站-HLH,39,1890,38350,290,102.697,25.04751,OUTDOOR,8,139.102,,
565395-2,官渡35分局-HLH-2,565395,官渡35分局-HLH,39,1890,38350,140,102.724,25.02206,OUTDOOR,30,132.971,,
565395-1,官渡35分局-HLH-1,565395,官渡35分局-HLH,39,1890,38350,340,102.724,25.02206,OUTDOOR,30,132.971,,
565026-3,官渡77223部队-HLH-3,565026,官渡77223部队-HLH,39,1890,38350,240,102.872,25.01466,OUTDOOR,30,841.04,,
565026-2,官渡77223部队-HLH-2,565026,官渡77223部队-HLH,39,1890,38350,150,102.872,25.01466,OUTDOOR,30,841.04,,
565026-1,官渡77223部队-HLH-1,565026,官渡77223部队-HLH,39,1890,38350,0,102.872,25.01466,OUTDOOR,30,841.04,,
565360-3,官渡95429部队-HLH-3,565360,官渡95429部队-HLH,39,1890,38350,300,102.748,25.00737,OUTDOOR,24,318.138,,
565360-2,官渡95429部队-HLH-2,565360,官渡95429部队-HLH,39,1890,38350,130,102.748,25.00737,OUTDOOR,24,318.138,,
565360-1,官渡95429部队-HLH-1,565360,官渡95429部队-HLH,39,1890,38350,10,102.748,25.00737,OUTDOOR,24,318.138,,
566943-3,官渡95464部队-HLH-3,566943,官渡95464部队-HLH,39,1890,38350,270,102.782,25.01902,OUTDOOR,23,344.644,,
566943-2,官渡95464部队-HLH-2,566943,官渡95464部队-HLH,39,1890,38350,150,102.782,25.01902,OUTDOOR,23,344.644,,
566943-1,官渡95464部队-HLH-1,566943,官渡95464部队-HLH,39,1890,38350,30,102.782,25.01902,OUTDOOR,23,344.644,,
565403-3,官渡万商城-HLH-3,565403,官渡万商城-HLH,39,1890,38350,300,102.723,24.98095,OUTDOOR,18,289.034,,
565403-2,官渡万商城-HLH-2,565403,官渡万商城-HLH,39,1890,38350,210,102.723,24.98095,OUTDOOR,18,289.034,,
565403-1,官渡万商城-HLH-1,565403,官渡万商城-HLH,39,1890,38350,60,102.723,24.98095,OUTDOOR,18,289.034,,
565648-3,官渡万德村-HLH-3,565648,官渡万德村-HLH,39,1890,38350,260,102.728,24.99528,OUTDOOR,27,335.102,,
565648-2,官渡万德村-HLH-2,565648,官渡万德村-HLH,39,1890,38350,130,102.728,24.99528,OUTDOOR,27,335.102,,
565648-1,官渡万德村-HLH-1,565648,官渡万德村-HLH,39,1890,38350,0,102.728,24.99528,OUTDOOR,27,335.102,,
565596-3,官渡三元七甲村-HLH-3,565596,官渡三元七甲村-HLH,39,1890,38350,240,102.728,24.97195,OUTDOOR,15,543.308,,
565596-2,官渡三元七甲村-HLH-2,565596,官渡三元七甲村-HLH,39,1890,38350,140,102.728,24.97195,OUTDOOR,15,543.308,,
565596-1,官渡三元七甲村-HLH-1,565596,官渡三元七甲村-HLH,39,1890,38350,0,102.728,24.97195,OUTDOOR,15,543.308,,
565664-3,官渡下四甲村-HLH-3,565664,官渡下四甲村-HLH,39,1890,38350,260,102.729,24.967104,OUTDOOR,27,334.742,,
565664-2,官渡下四甲村-HLH-2,565664,官渡下四甲村-HLH,39,1890,38350,150,102.729,24.967104,OUTDOOR,27,334.742,,
565664-1,官渡下四甲村-HLH-1,565664,官渡下四甲村-HLH,39,1890,38350,40,102.729,24.967104,OUTDOOR,27,334.742,,
565612-3,官渡世纪城华春苑-HLH-3,565612,官渡世纪城华春苑-HLH,39,1890,38350,280,102.745,24.96667,OUTDOOR,49,169.711,,
565612-2,官渡世纪城华春苑-HLH-2,565612,官渡世纪城华春苑-HLH,39,1890,38350,160,102.745,24.96667,OUTDOOR,49,169.711,,
565612-1,官渡世纪城华春苑-HLH-1,565612,官渡世纪城华春苑-HLH,39,1890,38350,30,102.745,24.96667,OUTDOOR,49,169.711,,
565424-3,官渡世纪金源对面灯杆-HLH-3,565424,官渡世纪金源对面灯杆-HLH,39,1890,38350,210,102.766,24.98025,OUTDOOR,20,228.56,,
565424-2,官渡世纪金源对面灯杆-HLH-2,565424,官渡世纪金源对面灯杆-HLH,39,1890,38350,80,102.766,24.98025,OUTDOOR,20,228.56,,
565424-1,官渡世纪金源对面灯杆-HLH-1,565424,官渡世纪金源对面灯杆-HLH,39,1890,38350,340,102.766,24.98025,OUTDOOR,20,228.56,,
566985-3,官渡世纪金源小学教学楼灯杆-HLH-3,566985,官渡世纪金源小学教学楼灯杆-HLH,39,1890,38350,200,102.749,24.96615,OUTDOOR,30,370.444,,
566985-2,官渡世纪金源小学教学楼灯杆-HLH-2,566985,官渡世纪金源小学教学楼灯杆-HLH,39,1890,38350,80,102.749,24.96615,OUTDOOR,30,370.444,,
566985-1,官渡世纪金源小学教学楼灯杆-HLH-1,566985,官渡世纪金源小学教学楼灯杆-HLH,39,1890,38350,0,102.749,24.96615,OUTDOOR,30,370.444,,
566957-3,官渡东三环纺织品公司朝南段灯杆-HLH-3,566957,官渡东三环纺织品公司朝南段灯杆-HLH,39,1890,38350,240,102.772,25.02147,OUTDOOR,30,329.086,,
566957-2,官渡东三环纺织品公司朝南段灯杆-HLH-2,566957,官渡东三环纺织品公司朝南段灯杆-HLH,39,1890,38350,100,102.772,25.02147,OUTDOOR,30,329.086,,
566957-1,官渡东三环纺织品公司朝南段灯杆-HLH-1,566957,官渡东三环纺织品公司朝南段灯杆-HLH,39,1890,38350,0,102.772,25.02147,OUTDOOR,30,329.086,,
565430-3,官渡东城国际-HLH-3,565430,官渡东城国际-HLH,39,1890,38350,270,102.782,25.00177,OUTDOOR,20,140.144,,
565430-2,官渡东城国际-HLH-2,565430,官渡东城国际-HLH,39,1890,38350,150,102.782,25.00177,OUTDOOR,20,140.144,,
565430-1,官渡东城国际-HLH-1,565430,官渡东城国际-HLH,39,1890,38350,50,102.782,25.00177,OUTDOOR,20,140.144,,
565817-3,官渡东站-HLH-3,565817,官渡东站-HLH,39,1890,38350,220,102.735,25.0325,OUTDOOR,26,277.461,,
565817-2,官渡东站-HLH-2,565817,官渡东站-HLH,39,1890,38350,80,102.735,25.0325,OUTDOOR,26,277.461,,
565817-1,官渡东站-HLH-1,565817,官渡东站-HLH,39,1890,38350,330,102.735,25.0325,OUTDOOR,26,277.461,,
567522-3,官渡东航仓库-HLH-3,567522,官渡东航仓库-HLH,39,1890,38350,310,102.738,24.994444,OUTDOOR,25,319.504,,
567522-2,官渡东航仓库-HLH-2,567522,官渡东航仓库-HLH,39,1890,38350,210,102.738,24.994444,OUTDOOR,25,319.504,,
567522-1,官渡东航仓库-HLH-1,567522,官渡东航仓库-HLH,39,1890,38350,40,102.738,24.994444,OUTDOOR,25,319.504,,
567609-1,官渡东风路与朝阳路交叉路口路灯站-HLH-1,567609,官渡东风路与朝阳路交叉路口路灯站-HLH,39,1890,38350,330,102.738,25.04096,OUTDOOR,12,123.36,,
567609-2,官渡东风路与朝阳路交叉路口路灯站-HLH-2,567609,官渡东风路与朝阳路交叉路口路灯站-HLH,39,1890,38350,240,102.738,25.04096,OUTDOOR,12,123.36,,
566958-3,官渡东骧神骏办公楼-HLH-3,566958,官渡东骧神骏办公楼-HLH,39,1890,38350,240,102.754,25.03501,OUTDOOR,20,162.134,,
566958-2,官渡东骧神骏办公楼-HLH-2,566958,官渡东骧神骏办公楼-HLH,39,1890,38350,120,102.754,25.03501,OUTDOOR,20,162.134,,
566958-1,官渡东骧神骏办公楼-HLH-1,566958,官渡东骧神骏办公楼-HLH,39,1890,38350,0,102.754,25.03501,OUTDOOR,20,162.134,,
568074-1,官渡东骧神骏瑞泰苑3栋租房站-HLH-1,568074,官渡东骧神骏瑞泰苑3栋租房站-HLH,39,1890,38350,0,102.753,25.03525,OUTDOOR,0,94.537,,
568064-2,官渡东骧神骏荣泰苑2栋租房站-HLH-2,568064,官渡东骧神骏荣泰苑2栋租房站-HLH,39,1890,38350,120,102.756,25.035099,OUTDOOR,30,162.134,,
568064-1,官渡东骧神骏荣泰苑2栋租房站-HLH-1,568064,官渡东骧神骏荣泰苑2栋租房站-HLH,39,1890,38350,0,102.756,25.035099,OUTDOOR,30,162.134,,
567417-3,官渡中医学院福德分院路灯-HLH-3,567417,官渡中医学院福德分院路灯-HLH,39,1890,38350,310,102.726,25.009262,OUTDOOR,15,273.697,,
567417-2,官渡中医学院福德分院路灯-HLH-2,567417,官渡中医学院福德分院路灯-HLH,39,1890,38350,190,102.726,25.009262,OUTDOOR,15,273.697,,
567417-1,官渡中医学院福德分院路灯-HLH-1,567417,官渡中医学院福德分院路灯-HLH,39,1890,38350,60,102.726,25.009262,OUTDOOR,15,273.697,,
567010-3,官渡中国海关5号库-HLH-3,567010,官渡中国海关5号库-HLH,39,1890,38350,230,102.756,25.02861,OUTDOOR,22,308.789,,
567010-2,官渡中国海关5号库-HLH-2,567010,官渡中国海关5号库-HLH,39,1890,38350,120,102.756,25.02861,OUTDOOR,22,308.789,,
567010-1,官渡中国海关5号库-HLH-1,567010,官渡中国海关5号库-HLH,39,1890,38350,10,102.756,25.02861,OUTDOOR,22,308.789,,
567011-3,官渡中国航油东郊油库-HLH-3,567011,官渡中国航油东郊油库-HLH,39,1890,38350,220,102.785,25.02575,OUTDOOR,15,485.009,,
567011-2,官渡中国航油东郊油库-HLH-2,567011,官渡中国航油东郊油库-HLH,39,1890,38350,130,102.785,25.02575,OUTDOOR,15,485.009,,
567011-1,官渡中国航油东郊油库-HLH-1,567011,官渡中国航油东郊油库-HLH,39,1890,38350,330,102.785,25.02575,OUTDOOR,15,485.009,,
565720-3,官渡中苜蓿村-HLH-3,565720,官渡中苜蓿村-HLH,39,1890,38350,220,102.735,24.9946,OUTDOOR,30,254.246,,
565720-2,官渡中苜蓿村-HLH-2,565720,官渡中苜蓿村-HLH,39,1890,38350,90,102.735,24.9946,OUTDOOR,30,254.246,,
565720-1,官渡中苜蓿村-HLH-1,565720,官渡中苜蓿村-HLH,39,1890,38350,320,102.735,24.9946,OUTDOOR,30,254.246,,
565765-3,官渡中闸新村102号-HLH-3,565765,官渡中闸新村102号-HLH,39,1890,38350,240,102.734,24.97236,OUTDOOR,29,391.927,,
565765-2,官渡中闸新村102号-HLH-2,565765,官渡中闸新村102号-HLH,39,1890,38350,110,102.734,24.97236,OUTDOOR,29,391.927,,
565765-1,官渡中闸新村102号-HLH-1,565765,官渡中闸新村102号-HLH,39,1890,38350,320,102.734,24.97236,OUTDOOR,29,391.927,,
567619-3,官渡中闸村-HLH-3,567619,官渡中闸村-HLH,39,1890,38350,330,102.736,24.97529,OUTDOOR,20,234.674,,
567619-2,官渡中闸村-HLH-2,567619,官渡中闸村-HLH,39,1890,38350,150,102.736,24.97529,OUTDOOR,20,234.674,,
567619-1,官渡中闸村-HLH-1,567619,官渡中闸村-HLH,39,1890,38350,50,102.736,24.97529,OUTDOOR,20,234.674,,
565764-3,官渡中闸王家村96号-HLH-3,565764,官渡中闸王家村96号-HLH,39,1890,38350,290,102.736,24.9774,OUTDOOR,23,234.674,,
565764-2,官渡中闸王家村96号-HLH-2,565764,官渡中闸王家村96号-HLH,39,1890,38350,130,102.736,24.9774,OUTDOOR,23,234.674,,
565764-1,官渡中闸王家村96号-HLH-1,565764,官渡中闸王家村96号-HLH,39,1890,38350,60,102.736,24.9774,OUTDOOR,23,234.674,,
565749-3,官渡云上四季快捷酒店-HLH-3,565749,官渡云上四季快捷酒店-HLH,39,1890,38350,170,102.735,25.02337,OUTDOOR,28,198.809,,
565749-2,官渡云上四季快捷酒店-HLH-2,565749,官渡云上四季快捷酒店-HLH,39,1890,38350,130,102.735,25.02337,OUTDOOR,28,198.809,,
565749-1,官渡云上四季快捷酒店-HLH-1,565749,官渡云上四季快捷酒店-HLH,39,1890,38350,330,102.735,25.02337,OUTDOOR,28,198.809,,
567007-3,官渡云南农产品电子信息交易中心-HLH-3,567007,官渡云南农产品电子信息交易中心-HLH,39,1890,38350,250,102.77,25.027222,OUTDOOR,11,386.721,,
567007-2,官渡云南农产品电子信息交易中心-HLH-2,567007,官渡云南农产品电子信息交易中心-HLH,39,1890,38350,150,102.77,25.027222,OUTDOOR,11,386.721,,
567007-1,官渡云南农产品电子信息交易中心-HLH-1,567007,官渡云南农产品电子信息交易中心-HLH,39,1890,38350,0,102.77,25.027222,OUTDOOR,11,386.721,,
567008-3,官渡云南农产品电子信息交易中心C栋-HLH-3,567008,官渡云南农产品电子信息交易中心C栋-HLH,39,1890,38350,270,102.772,25.03164,OUTDOOR,12,309.437,,
